IPCC_annex,C_group_IM24_sh,Country_code_A3,Name,Substance,Y_1970,Y_1971,Y_1972,Y_1973,Y_1974,Y_1975,Y_1976,Y_1977,Y_1978,Y_1979,Y_1980,Y_1981,Y_1982,Y_1983,Y_1984,Y_1985,Y_1986,Y_1987,Y_1988,Y_1989,Y_1990,Y_1991,Y_1992,Y_1993,Y_1994,Y_1995,Y_1996,Y_1997,Y_1998,Y_1999,Y_2000,Y_2001,Y_2002,Y_2003,Y_2004,Y_2005,Y_2006,Y_2007,Y_2008,Y_2009,Y_2010,Y_2011,Y_2012,Y_2013,Y_2014,Y_2015,Y_2016,Y_2017,Y_2018,Y_2019,Y_2020,Y_2021,Y_2022,Y_2023,Y_2024
Non-Annex_I,Oceania,ASM,American Samoa,N2O,0.00368819,0.003654868,0.003655036,0.003688686,0.003668444,0.003661426,0.003674347,0.003777113,0.003712789,0.003662378,0.003661049,0.003727924,0.003945412,0.004131809,0.004300852,0.004423795,0.004544734,0.004669073,0.004773914,0.004977264,0.004279822,0.004317144,0.004377874,0.004413751,0.0044665,0.004530145,0.004553551,0.004590244,0.004663941,0.004712619,0.004752036,0.007347978,0.007430871,0.007571428,0.007483664,0.007456843,0.007476808,0.007465425,0.007420998,0.007462127,0.007508347,0.007587733,0.007577275,0.007613903,0.00766515,0.007722866,0.007727513,0.00774678,0.00771859,0.007733686,0.007853558,0.007876193,0.007848582,0.007867229,0.007886334
Non-Annex_I,Rest Central America,ATG,Antigua and Barbuda,N2O,0.024405107,0.026600923,0.025040148,0.024953187,0.023046486,0.024297053,0.024179197,0.025248893,0.028698177,0.033540712,0.037352341,0.036747979,0.039998863,0.037086227,0.039367675,0.042118991,0.042880019,0.043979725,0.04491492,0.042170487,0.043749317,0.044727012,0.045310737,0.045631804,0.04777519,0.049388121,0.049410548,0.05185045,0.053957893,0.05562489,0.047497326,0.048437684,0.050024255,0.051773576,0.053184977,0.054586104,0.056635029,0.057652216,0.058077809,0.060325075,0.047286602,0.043019242,0.044003088,0.045977375,0.047079861,0.047504151,0.049321884,0.04695446,0.046895181,0.047793536,0.046421807,0.046294391,0.046696779,0.048831912,0.047237691
Annex_I,Oceania,AUS,Australia,N2O,119.9480648,124.5569198,125.3872867,120.5780204,127.5510812,132.3803558,133.5199124,124.4041637,121.6715646,120.6609547,119.086002,117.9041796,126.7432594,126.1686947,139.0332905,130.18684,134.9160704,127.8589989,139.4781186,136.0903478,146.4660966,145.0508858,145.1429116,152.5872148,150.4261219,145.8942044,155.7710125,155.8197018,165.2495809,171.7480423,170.234613,176.5666989,180.4553453,157.3248277,176.2016423,165.9391055,171.9284174,163.8009512,154.6063075,157.5989695,153.0189099,181.8103892,184.6971826,173.408577,179.7778719,174.0335649,166.7083608,186.7998779,174.1507832,167.3057461,161.6574677,177.8454665,176.0397828,201.9468312,191.7253555
Annex_I,OECD_Europe,AUT,Austria,N2O,18.48144603,19.04183333,19.33989331,20.28146698,20.70058458,20.22042901,20.75821778,20.81902693,21.02249882,21.24223665,21.20285985,20.5726699,19.75681212,19.42133572,19.58230071,18.57263467,17.84008416,17.00854042,17.70083534,16.41148524,16.34658422,16.50406559,15.87756263,15.80448437,15.63140602,15.58136808,15.97062989,15.68140931,15.75003604,15.62713817,15.39336877,15.60422137,15.32594086,15.32274116,13.37576098,13.414097,13.33585487,13.15908816,13.01089142,12.69401927,13.27686943,13.24633876,13.00463628,13.05311641,13.41615449,13.31664455,13.40443589,13.0846691,12.85565028,12.99628945,12.70972846,12.60658871,12.37258459,12.16822655,12.11707276
Non-Annex_I,Russia +,AZE,Azerbaijan,N2O,4.971163855,5.111587134,5.194374715,5.428682179,5.574628143,5.723087792,5.789065886,5.924644439,6.057400082,6.124021202,6.21719341,6.196596903,6.17186625,6.252821165,6.397534039,6.476122732,6.606035964,6.68367008,6.529013498,6.540262127,6.603979189,5.956114042,5.604993873,5.036175395,4.628136353,4.351102332,4.413720109,4.479090439,4.663693908,4.812972437,5.000386514,5.272048068,5.608927715,6.022237686,6.08350034,6.308658423,6.507619132,6.593202729,7.235397015,7.139272804,7.030292675,7.34812326,7.475478853,7.646686736,7.907045331,7.893938237,7.724283365,8.040907296,8.289305383,9.164728661,9.048689263,8.143620488,9.237011556,9.295791994,9.556176598
Non-Annex_I,Eastern_Africa,BDI,Burundi,N2O,2.197759848,2.200607344,2.284415979,2.346800458,2.341169019,2.433776888,2.446470365,2.439766093,2.453133898,2.506728939,2.251122213,2.024475306,2.110701069,2.109571247,2.16578486,2.103138015,2.262040976,2.218996719,2.308451084,2.244923301,2.40780142,2.414561325,2.441523657,2.458870289,2.30344919,2.408642932,2.42440678,2.416199735,2.367960494,2.369639799,2.449331589,2.418222905,2.347171756,2.384205874,2.483115907,2.600739886,2.71221734,2.785228015,2.897612259,3.071257528,3.281784539,3.444950102,3.524150303,4.006880491,3.988076574,3.926387048,4.180428834,4.755202425,4.838677888,4.480328128,4.409187683,4.943843112,4.891318683,5.375904525,5.526333858
Annex_I,OECD_Europe,BEL,Belgium,N2O,31.72844486,34.01086478,34.54758107,35.01931217,40.21420855,33.02678905,33.05367483,37.79557471,39.13246637,39.55204375,39.90754859,41.12659641,38.78821657,41.13998894,44.54110788,43.46816104,42.25644019,40.48565653,37.78564011,36.66119031,28.31794443,28.03725337,26.74811308,27.70574945,29.82231355,30.85011849,32.91821418,32.15102216,34.91600458,34.95350726,33.58428843,33.01543885,33.21992414,30.16439566,30.16682131,30.48953397,30.34228487,31.44630235,31.04141464,29.43101392,33.56200033,33.48257906,32.98978101,33.10205447,32.60357146,32.51132059,31.78362669,31.71909035,31.78534788,31.84202637,31.80334814,32.33751071,29.74152038,28.49669698,28.11808847
Non-Annex_I,Western_Africa,BEN,Benin,N2O,1.596166056,1.630654122,1.728790918,1.851175509,1.791538475,1.907146699,1.942029009,1.999827376,2.083509639,2.145687525,2.26666447,2.331705907,2.647427565,2.810513264,2.781738846,2.955353322,2.77108758,2.782085999,2.677656199,2.796272667,2.954539476,3.15838743,3.168756949,3.075023306,3.51413078,3.252197675,3.711044772,3.523238371,3.621568893,3.694571607,3.80316129,4.028129064,4.192392273,4.204141154,4.263762967,4.570484393,4.603167663,4.768347262,4.783273324,4.986901283,5.089451297,5.266601411,5.39089024,5.655172289,5.775886122,5.943587948,6.26977768,6.393974383,6.615471158,6.785878158,6.669584762,6.975336994,7.361366102,7.838912959,8.028169268
Non-Annex_I,Western_Africa,BFA,Burkina Faso,N2O,5.530567336,5.593224366,5.267984349,4.960423293,5.127872712,5.323853303,5.429117785,5.530920827,5.742221836,5.956071341,6.090932169,6.403300942,7.203223356,7.453406424,7.465011716,8.443647725,8.932312294,9.050645418,9.399253113,9.858272938,9.971392625,10.56152141,10.53559975,10.77065945,11.20147499,11.53058813,11.90311828,11.79474075,12.67040877,12.76798055,12.88783057,13.58879689,13.9011849,17.126379,17.45486331,17.92654606,18.21012475,18.66973679,19.21047498,19.63221474,20.16229706,20.50890039,20.89920834,21.45859619,21.85379659,22.38968386,23.08083301,23.5540213,24.17334018,24.81944592,20.5132021,25.02858874,25.07660092,23.71981702,23.73932352
Non-Annex_I,India +,BGD,Bangladesh,N2O,27.56263779,27.10698389,27.18374815,27.39649155,26.90172965,28.8122731,29.76920887,31.37663105,33.45090056,34.99500938,31.54290907,31.49264353,33.16081138,34.27565364,35.64119857,36.16443866,37.88772557,39.36986401,41.14536444,44.31068686,44.49605641,46.95397864,47.95656772,49.01230439,51.6769808,56.16326065,58.59902318,57.32693758,58.12919058,62.34170134,62.72538726,64.78963132,65.6295684,67.28304213,69.67689361,70.66347281,72.07373443,75.56497633,74.97249259,75.57113506,79.10795639,78.15682626,78.80810872,79.72387574,84.41350783,83.55435614,83.14747489,85.11589461,87.23859384,87.96467836,89.24287693,94.22518211,92.86563581,86.99884695,87.84854175
